No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
558,0.2963,0.2963,eBay ,Things.People.Love.,1584,N/A,23179144,01312340,293771394,NITRO,eBay International,Germany,eBay ,Online Retailers,15,Boss Level,RETAILERS,,Tuesday  ,97690404,2025-12-02,23:46:53,Online Retailers,23179144_102515eBay InternationaleBay ,13,Movie,293771394,None,23 - 00,07:17,Within,M,18,13,00:15,Within
600,0.2053,0.2053,eBay ,Things.People.Love.,1008,N/A,23179157,01211602,293810496,NITRO,eBay International,Germany,eBay ,Online Retailers,20,Ein Käfig voller Helden,RETAILERS,,Wednesday,97696047,2025-12-03,16:15:31,Online Retailers,23179157_102520eBay InternationaleBay ,19,TV series,293810496,None,13 - 17,08:30,Within,M,25,19,02:00,Within
605,0.2631,0.2631,eBay ,Things.People.Love.,2058,N/A,23179157,01331703,293815068,NITRO,eBay International,Germany,eBay ,Online Retailers,20,M*A*S*H,RETAILERS,,Wednesday,97696048,2025-12-03,17:08:23,Online Retailers,23179157_102520eBay InternationaleBay ,11,TV series,293815068,None,17 - 20,07:04,Within,M,20,11,01:20,Within
618,0.4654,0.4654,eBay ,Things.People.Love.,2394,N/A,23193081,01401805,293850127,NITRO,eBay International,Germany,eBay ,Online Retailers,15,Ein Käfig voller Helden,RETAILERS,,Wednesday,97696050,2025-12-03,18:58:55,Online Retailers,23193081_122515eBay InternationaleBay ,18,TV series,293850127,None,17 - 20,06:48,Within,M,23,18,02:20,Within
625,0.3953,0.3953,eBay ,Things.People.Love.,4221,N/A,23192969,01492000,293822926,NITRO,eBay International,Germany,eBay ,Online Retailers,20,"Hör mal, wer da hämmert",RETAILERS,,Wednesday,97696052,2025-12-03,20:11:19,Online Retailers,23192969_122520eBay InternationaleBay ,15,TV series,293822926,None,20 - 23,07:37,Within,Y,16,15,01:22,Within
635,0.6425,0.6425,eBay ,Things.People.Love.,7077,N/A,23179157,01602254,293828433,NITRO,eBay International,Germany,eBay ,Online Retailers,20,James Bond 007 - Goldeneye,RETAILERS,,Wednesday,97696056,2025-12-03,22:36:54,Online Retailers,23179157_102520eBay InternationaleBay ,4,Movie,293828433,None,20 - 23,08:19,Within,M,18,4,02:07,Within
272,0.2551,0.2551,eBay ,Things.People.Love.,828,N/A,23179144,01150812,293655063,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Monday   ,97685291,2025-12-01,08:25:44,Online Retailers,23179144_102515eBay InternationaleBay ,7,Newscast,293655063,None,06 - 09,06:03,Before,M,14,7,00:15,Before
276,0.3606,0.3606,eBay ,Things.People.Love.,1365,N/A,23179157,01200919,293657772,N-TV,eBay International,Germany,eBay ,Online Retailers,20,Nachrichten,RETAILERS,,Monday   ,97685299,2025-12-01,09:56:15,Online Retailers,23179157_102520eBay InternationaleBay ,5,Newscast,293657772,None,09 - 11,03:27,Before,M,11,5,00:40,Before
283,0.3541,0.3541,eBay ,Things.People.Love.,1098,N/A,23179144,01191234,293666994,N-TV,eBay International,Germany,eBay ,Online Retailers,15,LIVE,RETAILERS,,Monday   ,97685312,2025-12-01,12:56:33,Online Retailers,23179144_102515eBay InternationaleBay ,7,Newscast,293666994,None,11 - 13,04:25,Before,M,12,7,00:28,Before
289,0.2739,0.2739,eBay ,Things.People.Love.,1113,N/A,23179110,01171442,293672992,N-TV,eBay International,Germany,eBay ,Online Retailers,20,News Spezial,RETAILERS,,Monday   ,97685316,2025-12-01,14:28:17,Online Retailers,23179110_102520eBay InternationaleBay ,12,Newscast,293672992,None,13 - 17,04:42,Before,M,15,12,01:05,Before
292,0.3129,0.3129,eBay ,Things.People.Love.,1170,N/A,23193081,01201546,293675880,N-TV,eBay International,Germany,eBay ,Online Retailers,15,Nachrichten,RETAILERS,,Monday   ,97685319,2025-12-01,15:13:09,Online Retailers,23193081_122515eBay InternationaleBay ,3,Newscast,293675880,None,13 - 17,03:35,Within,C,11,3,00:50,Within
