No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
1051,0.1352,0.1352,eBay ,Things.People.Love.,903,N/A,23179157,01141542,293807526,SIXX,eBay International,Germany,eBay ,Online Retailers,20,Grey's Anatomy - Die jungen Ärzte,RETAILERS,,Wednesday,97695792,2025-12-03,15:42:09,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293807526,First,13 - 17,05:22,Within,A,17,1,01:50,Within
401,0.2674,0.2674,eBay ,Things.People.Love.,1470,N/A,23179157,01191646,293678989,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,20,Storage Wars - Die Geschäftemacher,RETAILERS,,Monday   ,97684779,2025-12-01,16:33:44,Online Retailers,23179157_102520eBay InternationaleBay ,10,Lifestyle,293678989,None,13 - 17,06:17,Within,M,21,10,00:45,Within
406,0.1142,0.1142,eBay ,Things.People.Love.,1113,N/A,23179157,01161752,293685753,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,20,Dragonball,RETAILERS,,Monday   ,97684782,2025-12-01,18:02:37,Online Retailers,23179157_102520eBay InternationaleBay ,1,Lifestyle,293685753,First,17 - 20,02:00,Before,A,7,1,00:40,Before
413,0.1185,0.1185,eBay ,Things.People.Love.,2052,N/A,23179144,01281960,293689512,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,15,Family Guy,RETAILERS,,Monday   ,97684787,2025-12-01,19:55:48,Online Retailers,23179144_102515eBay InternationaleBay ,1,TV series,293689512,First,17 - 20,03:30,Within,A,9,1,00:35,Within
424,0.1503,0.1503,eBay ,Things.People.Love.,2793,N/A,23192969,01312064,293693351,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,20,Akte X - Die unheimlichen Fälle des FBI,RETAILERS,,Monday   ,97684789,2025-12-01,20:59:54,Online Retailers,23192969_122520eBay InternationaleBay ,13,TV series,293693351,Last,20 - 23,04:00,Within,Z,13,13,01:15,Within
439,0.094,0.094,eBay ,Things.People.Love.,2160,N/A,23179144,01292272,293700388,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,15,Quantum Leap,RETAILERS,,Monday   ,97684793,2025-12-01,22:49:05,Online Retailers,23179144_102515eBay InternationaleBay ,12,TV series,293700388,None,20 - 23,04:00,Within,Y,13,12,01:05,Within
479,0.0918,0.0918,eBay ,Things.People.Love.,1974,N/A,23179157,01241959,293757125,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,20,Futurama,RETAILERS,,Tuesday  ,97689847,2025-12-02,19:38:18,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293757125,First,17 - 20,03:27,Within,A,10,1,00:40,Within
483,0.1518,0.1518,eBay ,Things.People.Love.,6174,Pre-split,23179157,64392062,293760556,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,20,Ted,RETAILERS,,Tuesday  ,97689849,2025-12-02,20:40:27,Online Retailers,23179157_102520eBay InternationaleBay ,1,TV series,293760556,First,20 - 23,05:10,Within,A,17,1,00:50,Within
487,0.125,0.125,eBay ,Things.People.Love.,3888,N/A,23179026,01412166,293764094,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,15,Die Simpsons,RETAILERS,,Tuesday  ,97689851,2025-12-02,21:44:37,Online Retailers,23179026_102515eBay InternationaleBay ,10,TV series,293764094,None,20 - 23,04:08,Within,X,12,10,00:45,Within
531,0.2616,0.2616,eBay ,Things.People.Love.,1260,N/A,23179144,N/A,293810972,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,15,Storage Wars - Die Geschäftemacher,RETAILERS,,Wednesday,97695202,2025-12-03,16:37:01,Online Retailers,23179144_102515eBay InternationaleBay ,19,Lifestyle,293810972,None,13 - 17,06:22,Within,Y,20,19,02:35,Within
540,0.326,0.326,eBay ,Things.People.Love.,4116,Pre-split,23179110,N/A,293844089,PROSIEBEN MAXX,eBay International,Germany,eBay ,Online Retailers,20,Two and a Half Men,RETAILERS,,Wednesday,97695211,2025-12-03,20:54:48,Online Retailers,23179110_102520eBay InternationaleBay ,1,TV series,293844089,First,20 - 23,05:10,Within,A,13,1,01:35,Within
269,0.0455,0.0455,eBay ,Things.People.Love.,315,N/A,23179157,01071023,293659701,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Pawn Stars - Die drei vom Pfandhaus,RETAILERS,,Monday   ,97685379,2025-12-01,10:44:49,Online Retailers,23179157_102520eBay InternationaleBay ,9,Lifestyle,293659701,None,09 - 11,04:05,Within,M,13,9,00:55,Within
271,0.0658,0.0658,eBay ,Things.People.Love.,315,N/A,23179110,01071127,293662915,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Wettkampf der Waffenschmiede,RETAILERS,,Monday   ,97685380,2025-12-01,11:50:11,Online Retailers,23179110_102520eBay InternationaleBay ,1,Lifestyle,293662915,First,11 - 13,05:40,Within,A,16,1,01:25,Within
283,0.0593,0.0593,eBay ,Things.People.Love.,609,N/A,23179157,01111336,293669550,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Die Schatzsucher von Oak Island,RETAILERS,,Monday   ,97685382,2025-12-01,13:40:37,Online Retailers,23179157_102520eBay InternationaleBay ,9,Lifestyle,293669550,None,13 - 17,04:15,Within,M,14,9,00:55,Within
285,0.0781,0.0781,eBay ,Things.People.Love.,609,N/A,23179157,01111439,293671957,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Die Schatzsucher von Oak Island,RETAILERS,,Monday   ,97685383,2025-12-01,14:47:33,Online Retailers,23179157_102520eBay InternationaleBay ,1,Lifestyle,293671957,First,13 - 17,03:55,Within,A,12,1,01:05,Within
292,0.0701,0.0701,eBay ,Things.People.Love.,798,N/A,23192969,01131648,293678053,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Die Schatzsucher von Oak Island,RETAILERS,,Monday   ,97685385,2025-12-01,16:16:12,Online Retailers,23192969_122520eBay InternationaleBay ,9,Lifestyle,293678053,None,13 - 17,03:52,Within,M,12,9,01:17,Within
301,0.1901,0.1901,eBay ,Things.People.Love.,1701,N/A,23179157,01211957,293688714,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Pawn Stars - Die drei vom Pfandhaus,RETAILERS,,Monday   ,97685388,2025-12-01,19:15:45,Online Retailers,23179157_102520eBay InternationaleBay ,11,Lifestyle,293688714,None,17 - 20,04:20,Within,X,13,11,01:05,Within
309,0.2074,0.2074,eBay ,Things.People.Love.,2793,N/A,23179157,01312167,293696161,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Wettkampf der Waffenschmiede,RETAILERS,,Monday   ,97685391,2025-12-01,21:32:39,Online Retailers,23179157_102520eBay InternationaleBay ,1,Lifestyle,293696161,First,20 - 23,04:35,Within,A,13,1,00:35,Within
312,0.1467,0.1467,eBay ,Things.People.Love.,2793,N/A,23179110,01312271,293699685,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Schutt und Asche - Baukatastrophen aufgeklärt,RETAILERS,,Monday   ,97685392,2025-12-01,22:23:21,Online Retailers,23179110_102520eBay InternationaleBay ,8,Documentary,293699685,None,20 - 23,05:15,Within,M,15,8,01:00,Within
314,0.0802,0.0802,eBay ,Things.People.Love.,1044,N/A,23179144,01170077,293706263,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,15,Giganten unter Wasser - Riesenfischen auf der Spur,RETAILERS,,Tuesday  ,97691190,2025-12-02,00:36:40,Online Retailers,23179144_102515eBay InternationaleBay ,11,Sport,293706263,Last,00 - 03,03:50,Within,Z,11,11,00:15,Within
316,0.034,0.034,eBay ,Things.People.Love.,273,N/A,23179157,01060606,293712742,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Unerklärliche Phänomene - Ancient Aliens,RETAILERS,,Tuesday  ,97691191,2025-12-02,06:44:48,Online Retailers,23179157_102520eBay InternationaleBay ,5,Documentary,293712742,None,06 - 09,04:08,Within,M,13,5,01:18,Within
319,0.0491,0.0491,eBay ,Things.People.Love.,234,N/A,23179144,01060710,293716772,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,15,Unerklärliche Phänomene - Ancient Aliens,RETAILERS,,Tuesday  ,97691192,2025-12-02,07:29:45,Online Retailers,23179144_102515eBay InternationaleBay ,1,Documentary,293716772,First,06 - 09,04:20,Within,A,12,1,00:35,Within
329,0.0665,0.0665,eBay ,Things.People.Love.,441,N/A,23179157,01091230,293733300,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Wettkampf der Waffenschmiede,RETAILERS,,Tuesday  ,97691197,2025-12-02,12:17:00,Online Retailers,23179157_102520eBay InternationaleBay ,3,Lifestyle,293733300,None,11 - 13,03:55,Within,C,13,3,00:20,Within
334,0.1041,0.1041,eBay ,Things.People.Love.,522,N/A,23179026,01111439,293739312,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,15,Unerklärliche Phänomene - Ancient Aliens,RETAILERS,,Tuesday  ,97691199,2025-12-02,14:35:25,Online Retailers,23179026_102515eBay InternationaleBay ,9,Documentary,293739312,None,13 - 17,03:58,Within,M,13,9,01:03,Within
337,0.1294,0.1294,eBay ,Things.People.Love.,693,N/A,23192969,01121542,293742389,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Unerklärliche Phänomene - Ancient Aliens,RETAILERS,,Tuesday  ,97691200,2025-12-02,15:23:00,Online Retailers,23192969_122520eBay InternationaleBay ,6,Documentary,293742389,None,13 - 17,04:25,Within,M,15,6,00:55,Within
345,0.1547,0.1547,eBay ,Things.People.Love.,1458,N/A,23179144,01211854,293752645,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,15,Wettkampf der Waffenschmiede,RETAILERS,,Tuesday  ,97691203,2025-12-02,18:28:24,Online Retailers,23179144_102515eBay InternationaleBay ,9,Lifestyle,293752645,None,17 - 20,03:53,Within,M,14,9,00:43,Within
348,0.1352,0.1352,eBay ,Things.People.Love.,1701,N/A,23179157,01211957,293756322,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Pawn Stars - Die drei vom Pfandhaus,RETAILERS,,Tuesday  ,97691204,2025-12-02,19:12:55,Online Retailers,23179157_102520eBay InternationaleBay ,4,Lifestyle,293756322,None,17 - 20,04:35,Within,M,14,4,01:15,Within
351,0.1518,0.1518,eBay ,Things.People.Love.,1785,N/A,23179157,01221960,293756338,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Pawn Stars - Die drei vom Pfandhaus,RETAILERS,,Tuesday  ,97691206,2025-12-02,19:41:23,Online Retailers,23179157_102520eBay InternationaleBay ,5,Lifestyle,293756338,None,17 - 20,04:40,Within,M,13,5,00:53,Within
358,0.1113,0.1113,eBay ,Things.People.Love.,2793,N/A,23179110,01312167,293763764,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Ancient Aliens - Die Ursprünge,RETAILERS,,Tuesday  ,97691208,2025-12-02,21:24:04,Online Retailers,23179110_102520eBay InternationaleBay ,8,Documentary,293763764,None,20 - 23,05:22,Within,M,17,8,00:50,Within
362,0.107,0.107,eBay ,Things.People.Love.,1218,N/A,23179157,01170077,293773185,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Verborgen in der Finsternis: Geheimnisse der Vergangenheit,RETAILERS,,Wednesday,97696059,2025-12-03,00:29:41,Online Retailers,23179157_102520eBay InternationaleBay ,4,Documentary,293773185,None,00 - 03,04:00,Within,M,13,4,01:08,Within
387,0.1706,0.1706,eBay ,Things.People.Love.,1701,N/A,23179157,01211957,293817342,KABEL EINS DOKU,eBay International,Germany,eBay ,Online Retailers,20,Pawn Stars - Die drei vom Pfandhaus,RETAILERS,,Wednesday,97696072,2025-12-03,19:11:13,Online Retailers,23179157_102520eBay InternationaleBay ,5,Lifestyle,293817342,None,17 - 20,04:12,Within,M,14,5,01:12,Within
556,0.3549,0.3549,eBay ,Things.People.Love.,594,N/A,23179144,01120920,293722803,SAT.1 GOLD,eBay International,Germany,eBay ,Online Retailers,15,Richter Alexander Hold,RETAILERS,,Tuesday  ,97690808,2025-12-02,09:40:30,Online Retailers,23179144_102515eBay InternationaleBay ,3,Lifestyle,293722803,None,09 - 11,08:38,Within,C,29,3,01:55,Within
642,0.3686,0.3686,eBay ,Things.People.Love.,594,N/A,23179144,01120920,293789627,SAT.1 GOLD,eBay International,Germany,eBay ,Online Retailers,15,Richter Alexander Hold,RETAILERS,,Wednesday,97696930,2025-12-03,09:35:01,Online Retailers,23179144_102515eBay InternationaleBay ,5,Lifestyle,293789627,None,09 - 11,08:55,Within,M,28,5,01:55,Within
682,0.7466,0.7466,eBay ,Things.People.Love.,3549,N/A,23179157,01361960,293817448,SAT.1 GOLD,eBay International,Germany,eBay ,Online Retailers,20,K11 - Kommissare im Einsatz,RETAILERS,,Wednesday,97696942,2025-12-03,19:58:16,Online Retailers,23179157_102520eBay InternationaleBay ,6,Lifestyle,293817448,None,17 - 20,06:12,Within,M,15,6,00:45,Within
498,0.086,0.086,eBay ,Things.People.Love.,360,N/A,23179157,01110908,293657396,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Chris & Mäx: Die Oldtimer-Spezialisten,RETAILERS,,Monday   ,97685140,2025-12-01,09:46:05,Online Retailers,23179157_102520eBay InternationaleBay ,16,Documentary,293657396,None,09 - 11,07:33,Within,M,24,16,00:50,Within
505,0.107,0.107,eBay ,Things.People.Love.,540,N/A,23179110,01151101,293663244,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Lone Star Law - Die Gesetzeshüter von Texas,RETAILERS,,Monday   ,97685144,2025-12-01,11:36:58,Online Retailers,23179110_102520eBay InternationaleBay ,5,Lifestyle,293663244,None,11 - 13,06:18,Within,M,20,5,00:20,Within
509,0.1395,0.1395,eBay ,Things.People.Love.,615,N/A,23179144,01201203,293666322,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Lone Star Law - Die Gesetzeshüter von Texas,RETAILERS,,Monday   ,97685146,2025-12-01,12:41:44,Online Retailers,23179144_102515eBay InternationaleBay ,20,Lifestyle,293666322,None,11 - 13,07:01,Within,X,22,20,00:15,Within
516,0.1988,0.1988,eBay ,Things.People.Love.,1120,N/A,23179157,01231302,293669871,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Fang des Lebens - Der gefährlichste Job Alaskas,RETAILERS,,Monday   ,97685148,2025-12-01,13:39:48,Online Retailers,23179157_102520eBay InternationaleBay ,15,Lifestyle,293669871,None,13 - 17,04:32,Within,Y,16,15,01:05,Within
520,0.2443,0.2443,eBay ,Things.People.Love.,1240,N/A,23179157,01241402,293672660,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Fang des Lebens - Der gefährlichste Job Alaskas,RETAILERS,,Monday   ,97685150,2025-12-01,14:38:35,Online Retailers,23179157_102520eBay InternationaleBay ,12,Lifestyle,293672660,None,13 - 17,04:55,Within,X,14,12,01:00,Within
529,0.4018,0.4018,eBay ,Things.People.Love.,1215,N/A,23179144,01271603,293678230,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Die Schatzsucher - Goldrausch in Alaska,RETAILERS,,Monday   ,97685154,2025-12-01,16:34:57,Online Retailers,23179144_102515eBay InternationaleBay ,4,Lifestyle,293678230,None,13 - 17,06:08,Within,M,18,4,01:10,Within
533,0.4647,0.4647,eBay ,Things.People.Love.,2200,N/A,23192969,01311701,293681879,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Die Schatzsucher - Goldrausch in Alaska,RETAILERS,,Monday   ,97685155,2025-12-01,17:07:28,Online Retailers,23192969_122520eBay InternationaleBay ,14,Lifestyle,293681879,None,17 - 20,05:16,Within,M,17,14,01:20,Within
535,0.4618,0.4618,eBay ,Things.People.Love.,2200,N/A,23179157,01311703,293681427,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Steel Buddies - Stahlharte Geschäfte,RETAILERS,,Monday   ,97685157,2025-12-01,17:37:11,Online Retailers,23179157_102520eBay InternationaleBay ,6,Documentary,293681427,None,17 - 20,08:22,Within,M,25,6,02:05,Within
544,0.5493,0.5493,eBay ,Things.People.Love.,2680,N/A,23179157,01341802,293684981,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Steel Buddies - Stahlharte Geschäfte,RETAILERS,,Monday   ,97685159,2025-12-01,18:40:55,Online Retailers,23179157_102520eBay InternationaleBay ,10,Documentary,293684981,None,17 - 20,04:36,Within,X,12,10,00:30,Within
546,0.4452,0.4452,eBay ,Things.People.Love.,2220,N/A,23193081,01361903,293689293,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Kings Of Cash - Die Pfandleiher,RETAILERS,,Monday   ,97685161,2025-12-01,19:36:57,Online Retailers,23193081_122515eBay InternationaleBay ,1,Lifestyle,293689293,First,17 - 20,03:35,Within,A,14,1,00:50,Within
557,0.4929,0.4929,eBay ,Things.People.Love.,5460,N/A,23179110,01452102,293696709,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Speed Cops - Poser und Raser im Visier,RETAILERS,,Monday   ,97685165,2025-12-01,21:07:38,Online Retailers,23179110_102520eBay InternationaleBay ,16,TV series,293696709,None,20 - 23,08:10,Within,M,20,16,01:23,Within
562,0.43,0.43,eBay ,Things.People.Love.,5460,N/A,23179157,01452104,293696721,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Speed Cops - Poser und Raser im Visier,RETAILERS,,Monday   ,97685169,2025-12-01,21:56:18,Online Retailers,23179157_102520eBay InternationaleBay ,15,TV series,293696721,None,20 - 23,05:32,Within,Y,16,15,00:55,Within
564,0.3288,0.3288,eBay ,Things.People.Love.,2940,N/A,23179144,01412202,293700151,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Police Interceptors - Auf Verfolgungsjagd,RETAILERS,,Monday   ,97685171,2025-12-01,22:26:15,Online Retailers,23179144_102515eBay InternationaleBay ,7,Lifestyle,293700151,None,20 - 23,03:44,Within,M,14,7,00:35,Within
567,0.3281,0.3281,eBay ,Things.People.Love.,3920,N/A,23179157,01412203,293700164,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Police Interceptors - Auf Verfolgungsjagd,RETAILERS,,Monday   ,97685173,2025-12-01,22:51:40,Online Retailers,23179157_102520eBay InternationaleBay ,5,Lifestyle,293700164,None,20 - 23,06:37,Within,M,18,5,01:50,Within
572,0.2262,0.2262,eBay ,Things.People.Love.,2960,N/A,23192969,01362304,293702503,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Police 911: Michigan,RETAILERS,,Monday   ,97685175,2025-12-01,23:30:30,Online Retailers,23192969_122520eBay InternationaleBay ,17,TV series,293702503,None,23 - 00,07:40,Within,X,19,17,01:05,Within
576,0.1626,0.1626,eBay ,Things.People.Love.,1940,N/A,23179157,01290001,293706741,DMAX,eBay International,Germany,eBay ,Online Retailers,20,AEW Collision,RETAILERS,,Tuesday  ,97690066,2025-12-02,00:15:22,Online Retailers,23179157_102520eBay InternationaleBay ,6,Sport,293706741,None,00 - 03,07:03,Before,M,19,6,01:25,Before
581,0.1055,0.1055,eBay ,Things.People.Love.,1940,N/A,23179157,01290002,293706728,DMAX,eBay International,Germany,eBay ,Online Retailers,20,AEW Collision,RETAILERS,,Tuesday  ,97690067,2025-12-02,00:50:16,Online Retailers,23179157_102520eBay InternationaleBay ,10,Sport,293706728,None,00 - 03,04:49,Within,X,12,10,01:00,Within
595,0.0716,0.0716,eBay ,Things.People.Love.,300,N/A,23179144,01121002,293726993,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Lone Star Law - Die Gesetzeshüter von Texas,RETAILERS,,Tuesday  ,97690090,2025-12-02,10:50:46,Online Retailers,23179144_102515eBay InternationaleBay ,17,Lifestyle,293726993,None,09 - 11,06:07,Within,M,21,17,00:15,Within
598,0.1012,0.1012,eBay ,Things.People.Love.,540,N/A,23179110,01151101,293730302,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Lone Star Law - Die Gesetzeshüter von Texas,RETAILERS,,Tuesday  ,97690092,2025-12-02,11:49:38,Online Retailers,23179110_102520eBay InternationaleBay ,17,Lifestyle,293730302,None,11 - 13,07:08,Within,M,21,17,00:45,Within
605,0.2313,0.2313,eBay ,Things.People.Love.,1120,N/A,23179157,01231302,293737342,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Fang des Lebens - Der gefährlichste Job Alaskas,RETAILERS,,Tuesday  ,97690096,2025-12-02,13:54:48,Online Retailers,23179157_102520eBay InternationaleBay ,13,Lifestyle,293737342,None,13 - 17,05:40,Within,M,16,13,00:55,Within
614,0.3158,0.3158,eBay ,Things.People.Love.,1340,N/A,23179157,01251507,293742853,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Fang des Lebens - Der gefährlichste Job Alaskas,RETAILERS,,Tuesday  ,97690099,2025-12-02,15:16:25,Online Retailers,23179157_102520eBay InternationaleBay ,9,Lifestyle,293742853,None,13 - 17,03:41,Within,Y,10,9,01:05,Within
618,0.412,0.412,eBay ,Things.People.Love.,1620,N/A,23192969,01271603,293745160,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Die Schatzsucher - Goldrausch in Alaska,RETAILERS,,Tuesday  ,97690102,2025-12-02,16:45:16,Online Retailers,23192969_122520eBay InternationaleBay ,17,Lifestyle,293745160,None,13 - 17,05:58,Within,M,20,17,01:00,Within
624,0.4618,0.4618,eBay ,Things.People.Love.,2200,N/A,23179157,01311701,293749016,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Die Schatzsucher - Goldrausch in Alaska,RETAILERS,,Tuesday  ,97690103,2025-12-02,17:12:23,Online Retailers,23179157_102520eBay InternationaleBay ,12,Lifestyle,293749016,None,17 - 20,04:43,Within,M,16,12,01:15,Within
627,0.5312,0.5312,eBay ,Things.People.Love.,1650,N/A,23179026,01311703,293749000,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Steel Buddies - Stahlharte Geschäfte,RETAILERS,,Tuesday  ,97690104,2025-12-02,17:43:53,Online Retailers,23179026_102515eBay InternationaleBay ,12,Documentary,293749000,None,17 - 20,07:49,Within,M,19,12,01:38,Within
633,0.5478,0.5478,eBay ,Things.People.Love.,2010,N/A,23179144,01341802,293752394,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Steel Buddies - Stahlharte Geschäfte,RETAILERS,,Tuesday  ,97690106,2025-12-02,18:41:47,Online Retailers,23179144_102515eBay InternationaleBay ,9,Documentary,293752394,None,17 - 20,05:14,Within,M,13,9,01:05,Within
637,0.3744,0.3744,eBay ,Things.People.Love.,2960,N/A,23179157,01361903,293756675,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Kings Of Cash - Die Pfandleiher,RETAILERS,,Tuesday  ,97690108,2025-12-02,19:40:27,Online Retailers,23179157_102520eBay InternationaleBay ,10,Lifestyle,293756675,None,17 - 20,03:46,Within,M,13,10,00:30,Within
639,0.3614,0.3614,eBay ,Things.People.Love.,3735,N/A,23179144,01442002,293759940,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Kings Of Cash - Die Pfandleiher,RETAILERS,,Tuesday  ,97690109,2025-12-02,20:04:37,Online Retailers,23179144_102515eBay InternationaleBay ,3,Lifestyle,293759940,None,20 - 23,03:40,Within,C,11,3,00:40,Within
640,0.3845,0.3845,eBay ,Things.People.Love.,4980,N/A,23179110,01442003,293759921,DMAX,eBay International,Germany,eBay ,Online Retailers,20,110 Hannover - Im Visier der Polizei,RETAILERS,,Tuesday  ,97690111,2025-12-02,20:36:53,Online Retailers,23179110_102520eBay InternationaleBay ,5,Documentary,293759921,None,20 - 23,03:37,Within,M,11,5,00:45,Within
643,0.3505,0.3505,eBay ,Things.People.Love.,5460,N/A,23179157,01452101,293764324,DMAX,eBay International,Germany,eBay ,Online Retailers,20,110 Hannover - Im Visier der Polizei,RETAILERS,,Tuesday  ,97690112,2025-12-02,21:03:57,Online Retailers,23179157_102520eBay InternationaleBay ,5,Documentary,293764324,None,20 - 23,06:35,Within,M,19,5,01:05,Within
646,0.2718,0.2718,eBay ,Things.People.Love.,5460,N/A,23179157,01452102,293764337,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Operation Undercover,RETAILERS,,Tuesday  ,97690113,2025-12-02,21:26:10,Online Retailers,23179157_102520eBay InternationaleBay ,3,TV series,293764337,None,20 - 23,04:41,Within,C,14,3,00:45,Within
651,0.2313,0.2313,eBay ,Things.People.Love.,3920,N/A,23192969,01412202,293768203,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Der Germinator - Ein deutscher Cop in Texas,RETAILERS,,Tuesday  ,97690115,2025-12-02,22:29:36,Online Retailers,23192969_122520eBay InternationaleBay ,15,TV series,293768203,None,20 - 23,08:00,Within,M,20,15,01:05,Within
654,0.1879,0.1879,eBay ,Things.People.Love.,2220,N/A,23193081,01362304,293771904,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Der Germinator - Ein deutscher Cop in Texas,RETAILERS,,Tuesday  ,97690117,2025-12-02,23:29:03,Online Retailers,23193081_122515eBay InternationaleBay ,11,TV series,293771904,None,23 - 00,03:22,Within,Y,12,11,00:15,Within
657,0.1554,0.1554,eBay ,Things.People.Love.,1940,N/A,23179157,01290002,293773264,DMAX,eBay International,Germany,eBay ,Online Retailers,20,110 Hannover - Im Visier der Polizei,RETAILERS,,Wednesday,97696830,2025-12-03,00:10:59,Online Retailers,23179157_102520eBay InternationaleBay ,3,Documentary,293773264,None,00 - 03,06:04,Before,C,12,3,00:20,Before
660,0.125,0.125,eBay ,Things.People.Love.,1940,N/A,23179157,01290001,293773281,DMAX,eBay International,Germany,eBay ,Online Retailers,20,110 Hannover - Im Visier der Polizei,RETAILERS,,Wednesday,97696831,2025-12-03,00:39:05,Online Retailers,23179157_102520eBay InternationaleBay ,9,Documentary,293773281,None,00 - 03,04:37,Within,M,14,9,01:00,Within
665,0.0557,0.0557,eBay ,Things.People.Love.,220,N/A,23179110,01080603,293781838,DMAX,eBay International,Germany,eBay ,Online Retailers,20,"Die Camper-Schmiede - Aufbau, Ausbau, Abenteuer",RETAILERS,,Wednesday,97696849,2025-12-03,06:49:01,Online Retailers,23179110_102520eBay InternationaleBay ,11,Documentary,293781838,None,06 - 09,04:02,Within,M,14,11,01:05,Within
670,0.0961,0.0961,eBay ,Things.People.Love.,270,N/A,23179144,01110908,293790334,DMAX,eBay International,Germany,eBay ,Online Retailers,15,Chris & Mäx: Die Oldtimer-Spezialisten,RETAILERS,,Wednesday,97696851,2025-12-03,09:46:51,Online Retailers,23179144_102515eBay InternationaleBay ,12,Documentary,293790334,None,09 - 11,04:53,Within,M,16,12,01:25,Within
677,0.0744,0.0744,eBay ,Things.People.Love.,400,N/A,23179157,01121002,293793446,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Lone Star Law - Die Gesetzeshüter von Texas,RETAILERS,,Wednesday,97696853,2025-12-03,10:40:14,Online Retailers,23179157_102520eBay InternationaleBay ,14,Lifestyle,293793446,None,09 - 11,06:29,Within,M,19,14,01:03,Within
681,0.1113,0.1113,eBay ,Things.People.Love.,540,N/A,23179157,01151101,293796332,DMAX,eBay International,Germany,eBay ,Online Retailers,20,Lone Star Law - Die Gesetzeshüter von Texas,RETAILERS,,Wednesday,97696855,2025-12-03,11:41:27,Online Retailers,23179157_102520eBay InternationaleBay ,13,Lifestyle,293796332,None,11 - 13,05:56,Within,M,16,13,00:20,Within
